"PID","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","score"
"P001",15212464.89,14933883.53,56912370.08,456590000,109490000,5.12e+09,456590000,109490000,5.12e+09,15353429.75,14110759.1,58917715.8,9077743.825,10810935.99,16651567.68,4469226.361,6656801.594,9307765.71,12075339.31,11668399.87,45689684.33,8573129.748,9499599.07,28012027.62,52128575.43,30448071.58,1105618365,131999718.5,114314537.8,1596745750,8310621.78,8846857.503,35259644.09,8454852.045,10204315.94,17380021.38,140498403.7,129456274.9,1612604773,23286669.32,10890583.13,227800743.7,456590000,109490000,5.12e+09,11787425.1,8313232.404,129561868.5,138626077.2,116365087.6,1602348523,3161,10537,0.29999051,3.967612282,0.316410888,3.95,6.205,127228.7403,91899.13229,1933217,108238,6.304699397,22.48512247,17.21216311,177.1861948,17.66811868,0.040241168,0.050711176,0.191094444,0.018037401,1.397314609,0.067253154,0.794712793,1.570796327,0,71.10244129,119.8117235,2430.689203,42.75511665,24466.42488,28411.7276,308323,16635,0.562998719,0.170298628,1.743807962,0.813053368,0.787744969,0.376318898,0.56783902,1.271165792,0.37712161,1.035516185,0.749326334,1.643460192,0.704004812,1.403466754,0.344612861,0.547716535,0.884114173,0.857401575,0.210787402,0.745844269,0.788276465,0.418635171,0.648512686,0.21631671,0.48272091,0.085958005,0.447069116,0.201224847,0.594925634,0.503718285,0.529090114,0.076771654,0.624671916,0.405949256,0.204724409,0.350174978,0.088363955,0.23619615,0.089510396,0.503995752,0.209916398,-0.301296065,0.796778253,0.02517494,75.94060162,1186.128836,0.433588155,50.29507639,-0.950395722,70.7978357,11.8913524,117.1309117,69.81292125,-0.143769389,0.404069699,30.24766109,3.501716188,36.67567149,30.19997576,-1.205578675,0.020184787,6.5
"P002",149997296.3,103652247.9,1225186944,7770490.888,7803178.431,41966492.5,13869906.57,10938490.66,171304448.7,31207598.85,17302674.16,349924335.6,107639077.2,81947160.09,580191382,34811331.14,19246497.69,237679829.4,112169357.9,48450376.36,547732021.9,40627500.92,30672645.21,128337156.7,109736585.6,71101971.63,1043820206,2035522348,474886554.1,21779494005,158695374.2,73935869.43,1210377636,149903872.8,92813965.97,2646387010,141770677,137168480.7,557535663.9,24798086.16,18956120.99,157144735.4,149801421,46215871.97,1587942849,55980477.25,45416876.93,227035815.7,339063983.3,156400785.8,1355852885,2606,3154,0.826252378,3.719173373,0.285229816,3.735,5.045,224911.4482,171193.2474,2116420,175045.5,3.383802375,10.88167689,6.802430133,100.3553409,9.643030755,0.023068784,0.037539621,0.190491914,0.006413834,2.385802353,-0.001703317,0.564559247,1.570796327,0,100.3049435,127.6395979,1106.011302,61.99193443,22466.37827,15862.33805,108244,24830,0.590184831,0.061189993,0.219727957,0.070680107,0.350893855,0.817561331,0.328472188,0.912516395,0.516839932,0.281836289,0.286725771,0.364124362,0.490126306,0.615630313,0.1267282,0.515647316,0.292640272,0.327255283,0.13932718,0.0932718,0.177313578,0.13626427,0.810055866,0.141850862,0.67719213,0.130677678,0.08598494,0.086956522,0.357541899,0.434782609,0.348554773,0.142336653,0.415350984,0.262326937,0.173913043,0.207432597,0.035462716,9.215964692,2.683158269,15.297857,8.338287,-0.787734708,0.6860166,0.0047214,45.26473043,1123.96,2.01,83.84797352,-1.19918319,88.78340502,6.785453136,104,88.18,4.773619979,-1.1851907,32.68068376,0.768957914,33.83,32.75,-0.828048385,-0.337845295,8.5
"P003",722734603,394350705.9,5644433262,174032862.8,60988580.53,2553487892,33646361.6,20583130.63,374498937.1,764276678.8,425890083.2,5699128378,495232432.3,192197318,5110876311,598220343.5,288517578,5271927519,780449634.4,460594672.6,5689219819,724850624,388529659.8,5578834866,689906621.9,346567963,5438319864,544446655.5,246551320.5,4921394883,7960512.613,9532183.645,20701688.5,771270516.8,467638482.7,5719038606,913098627,473415675.8,6911321619,775720779.7,466438439.2,5786801497,9786543.694,10600721.69,47811846.4,369107409,124685801.7,4250101318,775435661.8,444021279.9,5913389851,4488,7431,0.603956399,4.266649202,0.3969319,4.265,5.965,172239.1988,105666.2129,1708243,149986.5,3.501906314,14.83893328,25.65444652,1149.753493,12.27181195,0.035429184,0.049862643,0.199364886,0.010360073,1.613404688,0.005249999,0.714107641,1.570796327,0,100.2946915,187.5812697,2347.48312,48.70318265,22030.52929,26903.22009,533236,16664.5,0.585570925,0.146633494,2.349376114,0.670217469,0.756823529,0.560536542,0.181463458,0.480176471,0.045245989,0.117411765,0.146051693,0.357404635,0.090768271,0.248964349,0.161593583,0.298404635,0.120893048,0.094055258,0.541942959,0.936541889,0.706417112,0.308734403,0.721568627,0.087878788,0.642424242,0.020855615,0.067914439,0.05543672,0.400356506,0.107486631,0.116221034,0.081105169,0.195008913,0.089304813,0.037433155,0.134581105,0.137789661,0.435311443,0.187070125,1.008371,0.389674,0.217141851,0.973204873,0.00149604,53.38115658,808.33,0.22,35.53420339,-0.175894767,84.40231707,10.95508804,125.78,83.015,4.29331018,1.45485104,29.11046899,1.402609611,32.25,29.03,-0.864925279,0.127476502,5
"P004",38563690.66,13682683.89,332888605.8,9908826.638,7289798.711,84839472.61,86243968.1,36956024.27,552278517.7,20562831.04,19646676.91,65503823.74,8228062.406,9213640.602,29855229.75,51408523.63,16270410.63,403430045.1,36063723,13878581.53,281007242.3,22411651.99,9709589.903,222889032.1,45293396.67,16163921.27,343321386.7,78596234.48,42331493.88,472571659.3,30136208.49,17615989.69,405302597.5,78617039.74,41292475.3,445638666.4,81362665.41,45459808.27,489336482.5,35073953.92,15934349.84,272529339.8,28537114.18,11374762.62,429370645.5,70306094.81,24986767.35,1020656015,87184134.59,66418585.39,605071715.5,2978,8082,0.36847315,3.142590785,0.189318941,3.145,4.27,165532.4208,120322.4901,1983186,133169,3.296346558,30.70182444,9.088731946,116.7287454,29.55188609,0.051471696,0.053801598,0.222349568,0.03489441,0.930328529,0.168031963,0.81491376,1.570796327,0,71.02555143,105.4941613,2231.38522,52.15361924,16627.51104,18823.09245,258263,8406,0.516462722,0.233774319,0.13480803,0.01548808,0.037219573,0.670983689,0.075944793,0.089713927,0.837708908,0.354321205,0.272356336,0.381626098,0.078434128,0.041844417,0.096644918,0.142858218,0.023264743,0.080579674,0.046265997,0.289836888,0.959598494,0.035633626,0.948557089,0.040652447,0.519196989,0.909912171,0.023086575,0.133249686,0.603513174,0.635884567,0.024090339,0.649686324,0.054203262,0.034880803,0.023337516,0.045671267,0.007026349,2.52616019,1.2874683,6.734032,1.833137,-0.027549868,1.151307653,0.020996264,44.58829857,724.4,4.22,28.60315063,-0.032057373,86.79317829,10.97162697,109.4,85.43,-0.909407291,0.351893934,31.81399038,0.246334103,32.15,31.91,-0.886338636,-0.679165576,5.5
"P005",217412744,119529816.1,1345127781,17510317.75,10501281.36,180831914.4,145103686.9,49382005,1180907538,237015689.6,121071861.4,1425119785,228232990.2,117207645.9,1415165132,235563106.2,129891954.9,1418408123,125823912.6,41667224,1073171104,6601372.89,7233646.298,30244835.59,234649451.4,128457064.3,1417011669,242878317.6,135059627,1458518778,197910579.8,87623320.7,1350049303,235106142.7,127313496.9,1436921384,261593154.3,142738057,1597978135,240665563.8,127354662.1,1463458030,469605129.3,137299802,4896851204,235040500.4,126179075.6,1454866094,248188383.1,153564415.5,1483120697,3300,4394,0.751024124,4.225630427,0.391361687,4.205,6.77,236200.2679,155934.6766,1741600,199874.5,2.93265578,12.36842839,8.429005624,111.2016187,9.479581748,0.029499398,0.044741053,0.192759397,0.008884387,1.985144537,0.027225452,0.631969186,1.570796327,0,96.68153115,164.5760422,2632.670127,49.24428901,19615.04563,19564.03491,174938,16654,0.584957579,0.103465722,2.138711864,0.928341102,0.815860169,0.656052966,0.659127119,1.590082627,0.551180085,0.730144068,0.447760593,0.986688559,0.26359322,0.507618644,0.157989407,0.260400424,0.584724576,0.521925847,0.602915254,0.788983051,0.274364407,0.306567797,0.757838983,0.148940678,0.543644068,0.088135593,0.210381356,0.123516949,0.362923729,0.523940678,0.16440678,0.072033898,0.165677966,0.331355932,0.142161017,0.232415254,0.168432203,0.455790662,0.136830573,1.387516,0.446009,9.620801359,2.211624791,0.066921753,128.5917546,1089.47,1.79,9.573243018,-0.414771258,73.72871151,5.598994453,91.7,73.935,1.63675015,0.527311643,29.55496785,0.195491081,29.75,29.65,0.112010493,-1.272071034,5.5
"P006",6788034030,3287286839,39371121686,397790057,146844491.9,3708626945,25849831.21,23040581.75,106023145.3,498985741.2,203110845.3,4358615609,465170594.5,124438084.2,5018442114,456590000,109490000,5.12e+09,456590000,109490000,5.12e+09,456590000,109490000,5.12e+09,242349988,185251476.6,1581350665,77615440.13,50913383.9,406449177.8,40182085.38,37043909.33,113201210.8,52190497.52,32658297.36,442500928.9,89727970.27,88718203.96,717171552.8,25861538.07,18782537.32,186971442.6,433399347.6,118109182.5,4648971817,52795670.84,36462934.68,519289050.9,108588905.9,107884232.9,741501756.4,3406,4660,0.730901288,3.338255733,0.282649611,3.3,5.615,239068.4413,186326.6785,2791557,183316,3.657538734,12.63278183,4.234786169,42.89177965,11.87331208,0.034749466,0.048475378,0.193162362,0.010091238,1.599030952,0.025167159,0.695895117,1.570796327,0,75.62672306,115.1837835,2289.125816,43.0464865,20161.60738,19204.90206,241669,16662,0.570688539,0.132453568,1.847632242,0.78402303,0.228278158,0.817196833,0.247293991,0.840179921,0.08731918,0.135424613,0.418519252,0.266633681,0.262416337,0.364336092,0.338960058,0.29075027,0.191327816,0.546763224,0.405957179,0.926592299,0.64861461,0.541921555,0.729399064,0.130982368,0.915797049,0.044620367,0.055055775,0.444764304,0.17236416,0.199532206,0.235336452,0.15743073,0.181180281,0.087081684,0.107592659,0.310543361,0.22202231,1.412807217,1.229161125,5.119134,1.15614,-0.96426387,0.542842106,-0.002275313,125.1431287,2898.18,0.8,109.4501256,0.889773511,92.77080303,13.19156628,137.77,95.79,0.118004653,-0.343843047,29.05153614,1.0726388,30.61,29.15,-0.320602927,-0.582475081,4.5
"P007",13118692.77,11521317.16,49842596.82,20494328.44,15480186.26,91335416.2,20138451.23,8363866.481,121171402.7,18294357.35,10519696.19,84415337.97,28781593.25,23309268.86,119721128.4,8945233.797,6471010.802,29806047.02,23523009.44,21085462.59,59946286.89,19330942.2,16874564.02,53468094.57,16000941.94,6946465.925,50891300.4,17827979.83,6974459.253,67503030.98,34493183.32,9228657.427,175542078.6,13836217.71,7162816.918,71671637.81,152696414.6,20404302.7,496257871.4,63241146.78,41277138.28,224256893.6,57281866.88,51145496.43,124770480.9,18496784.03,7567671.882,102280738.7,292807134.1,37103936.93,497821179.5,1062,1795,0.591643454,3.777760627,0.416848877,3.76,5.905,262300.5424,226851.4988,1933017,194464,3.016711151,14.14753755,6.935139042,85.73005807,12.79304126,0.038272521,0.050790512,0.192428804,0.014740823,1.491081834,-0.068131388,0.80865086,1.570796327,0,156.6080467,350.6949599,2290.180779,46.02716301,23115.48295,27514.06779,316552,16640,0.635227273,0.152486911,1.239720544,0.382137462,0.616478474,0.385538142,0.254673338,1.175277568,0.521761707,0.518666918,0.171516239,0.669716767,0.849418429,0.947084592,0.248208082,0.511992069,0.634845166,0.743219411,0.854076662,0.575151057,0.408232628,0.150113293,0.539274924,0.092900302,0.432590634,0.046261329,0.053436556,0.04418429,0.139728097,0.844977341,0.335347432,0.091012085,0.471676737,0.479796073,0.635007553,0.832137462,0.813444109,0.278853505,0.084621937,0.50201,0.298388,-0.774492571,-0.510629484,0.00141214,54.63739462,708.68,2.08,19.36797393,-0.085313052,89.76470238,6.208284696,98.33,91.75,3.532252833,-1.659187871,34.0331287,0.914366629,35.13,34.37,-0.105973764,-1.062549164,6.5
"P008",137934055.7,96798939.57,637535021.5,90173532.74,64051313.16,403009724.9,25412640.82,12749758.82,203256621.3,18704612.26,18265591.05,45238148.43,112246168.9,76893873.77,546447823.3,131382652.9,101658596.1,446565934.1,76599217.55,45429719.07,562080223.7,87325835.25,69371692.66,293277905.6,106797420.1,64308939.66,637054582.6,82670243.96,18197502.24,333700075.8,1184686817,101133678.4,2842353695,175839368.7,121334937.5,759225463.7,2355640690,313167569.7,4282644696,1064287423,96498953.72,2655847022,456590000,109490000,5.12e+09,37214202.85,26188247.18,156425971.6,1493400356,151248222.9,3377883355,2949,8565,0.344308231,3.358112019,0.263714652,3.35,4.86,177534.3008,137430.7006,2091551,133386,3.256019656,26.27867762,24.67271461,383.2205631,19.90077607,0.037655807,0.047061369,0.192099343,0.017424521,1.508110609,0.009212778,0.750649875,1.570796327,0,84.36967361,120.5739503,1488.127011,49.64876635,24752.91722,29392.0706,330047,16657,0.597090823,0.131976978,1.834062307,0.943868372,0.712686198,1.183005983,0.292228182,0.791718589,0.842438622,0.72665979,0.399568805,0.475234165,0.535042294,0.449601816,0.199975242,0.401594801,0.550680834,0.335335259,0.113532082,0.907365381,0.845677739,0.184856612,0.520940788,0.1283268,0.633587786,0.155766453,0.131215185,0.094697751,0.28388694,0.744584279,0.2112647,0.135341448,0.278935424,0.264493501,0.204868991,0.278316484,0.056736125,0.040343587,0.021339892,0.105019,0.039702,-0.313569063,0.107173354,0.029698641,119.8189917,2146.59,3.495,64.08168945,-0.67023087,67.29219574,4.692985118,83.75,67.73,-0.201883782,-0.272626081,32.0967652,0.227153751,32.65,32.03,-0.72443278,0.693056093,6.5
"P009",410589345,270897211.1,2048533322,456590000,109490000,5.12e+09,61493552.02,54017213.83,145395661.6,457045525.2,133716012,4763891563,456590000,109490000,5.12e+09,71426324.77,59220269,211936606.2,299061104.2,107943368.9,2830094458,329051895.8,117928962.4,3120722007,9753899.377,9057368.061,80358000.03,32911044.59,18493021.61,416572226.3,109228967.2,93856842.7,453441601,73401566.27,51648893,358733621.1,33025855.85,32425558.75,254923573.1,111994098.5,89850986.25,373633446.9,456590000,109490000,5.12e+09,58907314.6,37682683.69,348775655.8,13613113.87,7570869.342,152130238.1,3390,7334,0.462230706,3.481294176,0.215814812,3.46,5.225,186911.6743,129847.5747,1849668,158261.5,2.865552374,18.77479371,18.1342514,912.1552865,16.93466471,0.041575119,0.054752077,0.190515018,0.01389312,1.303326317,0.072617652,0.780747387,1.570796327,0,88.96132375,199.6655978,2562.78852,37.69615365,21476.60436,23543.88756,283231,16608,0.583253392,0.202108384,1.257706838,0.280519456,1.829506989,0.512245939,0.090111447,0.423037401,0.215481677,0.061114469,0.17031734,0.446490366,0.507024934,0.480729127,0.950085002,0.208651303,0.119080091,0.171407253,0.758398187,0.870797129,0.178126181,0.919720438,0.822062713,0.059690215,0.28031734,0.041178693,0.033434076,0.074801662,0.264639214,0.550434454,0.181715149,0.387041934,0.274083869,0.152058935,0.061012467,0.838874197,0.723271628,1.353056361,0.886351081,4.155155,1.253426,-0.437611303,0.770091952,-0.00131193,48.84000184,515.21,5.87,18.29177465,-0.821671695,83.97286364,3.686209817,90.78,84.53,3.432446286,-1.093299195,32.66156627,0.254391432,33.25,32.63,1.816239087,-0.628483869,7.5
"P010",2563443941,657346254.9,23962026498,177397502.3,136204640.6,707888003.2,58519678.14,38065968.36,254902585.2,113809618.8,93110415.31,368047263,136420988.8,62869095.05,1304048364,628970906.5,296385888,4558134433,193029501.7,64909127.72,1597317222,116542464.6,83587042.77,643191881,796893944.7,294569586.2,6930633536,125024374.5,80108692.54,879520369.5,1550525565,826284882.2,9869347871,291603321.5,145320226.9,3441344202,37665596.98,36638852.6,163899530.5,223391016.8,189209922.1,655799465.9,189773306.1,147023325.3,1275580093,62925077.43,54983171.06,166118400,71337889.2,73488071.32,282976727.1,3380,5359,0.630714686,4.06909824,0.338514865,4.08,6.255,273496.3775,207071.3059,1975074,216734.5,2.697253811,15.96867848,15.60061526,190.9635343,12.0856933,0.035605059,0.044501868,0.192075853,0.018216358,1.656176168,0.106356337,0.790710672,1.570796327,0,106.2470767,162.9087809,2076.122588,61.32699243,23920.56576,21407.02533,175100,16717,0.532079022,0.105679218,1.292762829,1.114768416,0.29082929,0.7703176,0.159453022,0.359126599,0.141032201,0.461096898,0.358453169,0.611317453,0.335977062,0.539867667,0.09482282,0.640767534,0.222781944,0.720813116,0.665231584,0.779738274,0.93853845,0.393030437,0.84766946,0.088369357,0.205705043,0.041170416,0.064402294,0.145860903,0.40964564,0.473312748,0.119982356,0.051168946,0.282752536,0.132627555,0.180708719,0.20746949,0.327157771,1.543227672,0.939454094,4.992959,1.3631145,-0.783833217,0.412523795,-0.005929723,82.86178362,913.03,1.11,26.31253599,-0.728598243,82.37633333,8.170565065,97.78,81.65,-0.096721648,-0.27953396,28.87888242,0.167591783,29.15,28.91,0.44045672,-1.062223443,6
